


2022-08-18 17:05:33 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:33 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:35 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:35 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:37 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:37 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:39 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:40 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:42 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:42 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:44 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:44 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:46 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:46 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:48 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:48 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:51 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:51 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:05:53 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:05:53 [BARCODE] SERIAL ttyS4 OPEN FAIL



2022-08-18 17:06:40 [SYSTEM] Core Program Start
2022-08-18 17:06:40 [CUP] ERROR : Disconnected 1
2022-08-18 17:06:40 [CUP] ERROR : Disconnected 2
2022-08-18 17:06:40 [ROBOT] ERROR : DISCONNECTED
2022-08-18 17:06:40 [ICE] ERROR : DISCONNECTED 1
2022-08-18 17:06:41 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 17:06:42 [USER INPUT] UI : UNLOCK
2022-08-18 17:06:43 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:06:43 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:06:46 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:06:46 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:06:47 [USER INPUT] INIT START CANCLE
2022-08-18 17:06:48 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:06:48 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:06:49 [USER INPUT] PLATFORM OPERATION START
2022-08-18 17:06:49 [OPERATING PROCESS] Platform Operation Sequence Start
2022-08-18 17:06:49 [NOTICE] SHOW OP NOTICE : INIT_FI
2022-08-18 17:06:49 [OPERATING PROCESS] FAIL -- Do Initialize First
2022-08-18 17:06:53 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:06:54 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:06:56 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:06:56 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:06:58 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:06:58 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:00 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:00 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:02 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:03 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:05 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:05 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:07 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:07 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:09 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:09 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:11 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:12 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:14 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:14 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:16 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:16 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:18 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:18 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:20 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:20 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:22 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:23 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:25 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:25 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:27 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:27 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:29 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:29 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:31 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:32 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:34 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:34 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:36 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:36 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:38 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:38 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:40 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:41 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:43 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:43 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:45 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:45 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:07:47 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:07:47 [ICE] SERIAL ttyS6 OPEN FAIL



2022-08-18 17:09:10 [SYSTEM] Core Program Start
2022-08-18 17:09:11 [CUP] ERROR : Disconnected 1
2022-08-18 17:09:11 [CUP] ERROR : Disconnected 2
2022-08-18 17:09:11 [ROBOT] ERROR : DISCONNECTED
2022-08-18 17:09:11 [ICE] ERROR : DISCONNECTED 1
2022-08-18 17:09:12 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 17:09:12 [USER INPUT] UI : UNLOCK
2022-08-18 17:09:13 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:14 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:16 [USER INPUT] PLATFORM OPERATION START
2022-08-18 17:09:16 [OPERATING PROCESS] Platform Operation Sequence Start
2022-08-18 17:09:16 [NOTICE] SHOW OP NOTICE : INIT_FI
2022-08-18 17:09:16 [OPERATING PROCESS] FAIL -- Do Initialize First
2022-08-18 17:09:19 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:20 [BARCODE] SERIAL ttyS4 OPEN FAIL
